,GP,W,L,WIN%,MIN,EFG%,"FTA
RATE",TOV%,OREB%,"OPP
EFG%","OPP
FTA RATE","OPP
TOV%","OPP
OREB%"
Atlanta,72,41,31,0.569,"3,481",53.9,0.278,13.3,28.4,53,0.237,12.4,25.8
Boston,72,36,36,0.5,"3,476",54.3,0.234,14.1,28.9,53.9,0.273,14.2,26.3
Brooklyn,72,48,24,0.667,"3,481",57.5,0.258,13.4,25.2,53.1,0.241,12.5,27.4
Charlotte,72,33,39,0.458,"3,471",53.2,0.238,14.9,27.6,55,0.219,14.8,27.8
Chicago,72,31,41,0.431,"3,476",54.7,0.197,15.1,26.7,53.8,0.253,12.7,23.3
Cleveland,72,22,50,0.306,"3,486",50.8,0.261,15.7,28,55.6,0.235,14.5,27.1
Dallas,72,42,30,0.583,"3,461",55,0.242,12.3,25.3,53.4,0.259,12.9,26.6
Denver,72,47,25,0.653,"3,496",55.7,0.219,13.6,29.2,54.5,0.258,14.3,24.9
Detroit,72,20,52,0.278,"3,486",51.9,0.273,15.1,26.7,54.1,0.257,14.1,27.5
GoldenState,72,39,33,0.542,"3,461",55.1,0.239,14.6,22.2,52.2,0.286,14.6,27.3
Houston,72,17,55,0.236,"3,461",52.1,0.252,14.5,24,55.5,0.256,14.4,27.7
Indiana,72,34,38,0.472,"3,491",54.2,0.227,13.1,24.7,53.1,0.258,14.4,29.9
LAClippers,72,47,25,0.653,"3,456",56.4,0.222,13.5,27,53.1,0.239,13.2,24.6
LALakers,72,42,30,0.583,"3,491",53.6,0.271,15.2,26.9,52.6,0.237,15.2,25.2
Memphis,72,38,34,0.528,"3,481",52.8,0.232,13.1,28.5,53.5,0.249,14.6,26.4
Miami,72,40,32,0.556,"3,476",54.6,0.252,14.4,24,54.2,0.234,15.4,26.7
Milwaukee,72,46,26,0.639,"3,466",56.6,0.233,13.4,26.9,53.6,0.202,12.7,24.5
Minnesota,72,23,49,0.319,"3,481",52,0.254,13.9,27.1,55.6,0.264,14.9,28.3
NewOrleans,72,31,41,0.431,"3,486",53.7,0.293,14.4,30.2,55,0.236,13.2,24.5
NewYork,72,41,31,0.569,"3,486",52.4,0.242,13.3,26.4,50.9,0.257,13.1,26.2
OklahomaCity,72,22,50,0.306,"3,471",50.9,0.242,15.8,25.4,54.7,0.216,12.8,25.8
Orlando,72,21,51,0.292,"3,466",49,0.24,12.9,25.2,54.7,0.215,12.8,25.6
Philadelphia,72,49,23,0.681,"3,486",54.1,0.293,14.3,27.7,52.1,0.262,15.4,26.3
Phoenix,72,51,21,0.708,"3,496",56.4,0.212,12.6,24.8,53.4,0.25,13.7,25.9
Portland,72,42,30,0.583,"3,461",54,0.238,11.2,27.3,54.6,0.258,12.5,26.9
Sacramento,72,31,41,0.431,"3,461",54.9,0.248,13.3,25.3,55.7,0.253,13.6,28.7
SanAntonio,72,33,39,0.458,"3,496",51.7,0.243,11.3,24.3,54.1,0.23,13.1,26.7
Toronto,72,27,45,0.375,"3,461",52.9,0.241,13.3,25.6,54.3,0.293,16.2,28.4
Utah,72,52,20,0.722,"3,471",56.3,0.244,14.2,28.4,50.7,0.207,11.5,24.3
Washington,72,34,38,0.472,"3,481",53.1,0.288,13.7,25,53.9,0.277,13.9,26.4